FeaturesParamTransientDCNNP.csv
Stage 1 Output
Signal, Mean, Variance, Slope
/out1 (Vin=0.1503356) Y,2.497654e-01,4.928793e-20,3.526065e-08
/out1 (Vin=0.1610738) Y,2.497692e-01,5.088259e-20,3.637948e-08
/out1 (Vin=0.1718121) Y,2.497744e-01,5.943662e-17,1.238281e-06
/out1 (Vin=0.1825503) Y,2.497814e-01,1.189611e-19,5.521843e-08
/out1 (Vin=0.1932886) Y,2.497908e-01,2.686871e-19,8.307172e-08
/out1 (Vin=0.2040268) Y,2.498033e-01,6.877460e-18,4.211372e-07
/out1 (Vin=0.2147651) Y,2.498199e-01,3.841264e-16,3.148392e-06
/out1 (Vin=0.2255034) Y,2.498419e-01,2.076195e-19,7.321837e-08
/out1 (Vin=0.2362416) Y,2.498708e-01,2.715097e-19,8.379563e-08
/out1 (Vin=0.2469799) Y,2.499087e-01,8.454017e-20,4.674239e-08
/out1 (Vin=0.2577181) Y,2.499580e-01,8.833324e-16,4.774161e-06
/out1 (Vin=0.2684564) Y,2.500222e-01,3.241507e-22,2.900314e-09
/out1 (Vin=0.2791946) Y,2.501054e-01,9.830730e-18,5.035191e-07
/out1 (Vin=0.2899329) Y,2.502134e-01,3.738343e-16,3.105645e-06
/out1 (Vin=0.3006711) Y,2.503536e-01,7.646038e-23,1.421872e-10
/out1 (Vin=0.3114094) Y,2.505367e-01,1.038574e-23,3.300361e-11
/out1 (Vin=0.3221477) Y,2.507775e-01,3.308240e-23,-3.496154e-11
/out1 (Vin=0.3328859) Y,2.510981e-01,7.915625e-13,1.429147e-04
/out1 (Vin=0.3436242) Y,2.515321e-01,4.284368e-23,5.907315e-11
/out1 (Vin=0.3543624) Y,2.521329e-01,1.623302e-16,2.046433e-06
/out1 (Vin=0.3651007) Y,2.529908e-01,1.015938e-12,1.619425e-04
/out1 (Vin=0.3758389) Y,2.542677e-01,1.178053e-18,1.744463e-07
/out1 (Vin=0.3865772) Y,2.562777e-01,4.636225e-16,3.458344e-06
/out1 (Vin=0.3973154) Y,2.596968e-01,6.143005e-23,1.186023e-10
/out1 (Vin=0.4080537) Y,2.661838e-01,5.119618e-13,1.149342e-04
/out1 (Vin=0.4187919) Y,2.805579e-01,7.903934e-17,1.427814e-06
/out1 (Vin=0.4295302) Y,3.204034e-01,1.631644e-18,2.020609e-07
/out1 (Vin=0.4402685) Y,4.629060e-01,1.802894e-12,2.157005e-04
/out1 (Vin=0.4510067) Y,7.291312e-01,1.103101e-15,5.325456e-06
/out1 (Vin=0.461745) Y,1.044496e+00,1.595756e-18,1.854269e-07
/out1 (Vin=0.4724832) Y,1.293269e+00,1.833769e-19,-6.839931e-08
/out1 (Vin=0.4832215) Y,1.389228e+00,3.352413e-15,-9.297426e-06
/out1 (Vin=0.4939597) Y,1.435146e+00,2.916229e-15,-8.673923e-06
/out1 (Vin=0.504698) Y,1.458428e+00,3.716762e-13,-9.790174e-05
/out1 (Vin=0.5154362) Y,1.468804e+00,2.920079e-16,-2.744619e-06
/out1 (Vin=0.5261745) Y,1.473466e+00,1.806014e-20,-2.156737e-08
/out1 (Vin=0.5369128) Y,1.476203e+00,4.648787e-17,1.093127e-06
/out1 (Vin=0.547651) Y,1.478165e+00,1.131223e-16,-1.716675e-06
/out1 (Vin=0.5583893) Y,1.479697e+00,1.063786e-18,-1.646949e-07
/out1 (Vin=0.5691275) Y,1.480921e+00,5.788216e-20,-3.834979e-08
/out1 (Vin=0.5798658) Y,1.481871e+00,1.520859e-18,-1.969071e-07
/out1 (Vin=0.590604) Y,1.482575e+00,2.487506e-17,-8.011305e-07
/out1 (Vin=0.6013423) Y,1.483096e+00,3.401435e-21,-9.287382e-09
/out1 (Vin=0.6120805) Y,1.483495e+00,2.418731e-20,-2.473299e-08
/out1 (Vin=0.6228188) Y,1.483812e+00,2.639747e-16,-2.599806e-06
/out1 (Vin=0.633557) Y,1.484069e+00,2.313866e-15,-7.726384e-06
/out1 (Vin=0.6442953) Y,1.484283e+00,6.543237e-22,4.031518e-09
/out1 (Vin=0.6550336) Y,1.484464e+00,5.111121e-15,-1.148164e-05
/out1 (Vin=0.6657718) Y,1.484619e+00,1.423611e-19,-6.043955e-08
/out1 (Vin=0.6765101) Y,1.484752e+00,6.131617e-19,-1.252542e-07
/out1 (Vin=0.6872483) Y,1.484868e+00,1.819115e-19,-6.871920e-08
/out1 (Vin=0.6979866) Y,1.484970e+00,7.978738e-16,-4.536959e-06
/out1 (Vin=0.7087248) Y,1.485058e+00,5.122139e-23,1.143127e-09
/out1 (Vin=0.7194631) Y,1.485136e+00,9.049093e-23,-1.158084e-09
/out1 (Vin=0.7302013) Y,1.485204e+00,6.836300e-20,-4.042309e-08
/out1 (Vin=0.7409396) Y,1.485264e+00,1.240499e-21,5.896753e-09
/out1 (Vin=0.7516779) Y,1.485316e+00,1.732750e-23,5.415666e-11
/out1 (Vin=0.7624161) Y,1.485362e+00,1.276927e-18,-1.814204e-07
/out1 (Vin=0.7731544) Y,1.485401e+00,3.061858e-23,3.131161e-10
/out1 (Vin=0.7838926) Y,1.485436e+00,2.475965e-22,-2.476770e-09
/out1 (Vin=0.7946309) Y,1.485465e+00,4.053462e-22,-3.077627e-09
/out1 (Vin=0.8053691) Y,1.485491e+00,3.143684e-19,-8.518361e-08
/out1 (Vin=0.8161074) Y,1.485513e+00,9.914004e-17,-1.599361e-06
/out1 (Vin=0.8268456) Y,1.485532e+00,7.130903e-20,-4.038071e-08
/out1 (Vin=0.8375839) Y,1.485548e+00,1.072288e-23,4.931634e-11
/out1 (Vin=0.8483221) Y,1.485561e+00,9.712037e-24,-5.512017e-11
/out1 (Vin=0.8590604) Y,1.485573e+00,8.835933e-24,1.590769e-11
/out1 (Vin=0.8697987) Y,1.485584e+00,6.423670e-11,-1.287783e-03
/out1 (Vin=0.8805369) Y,1.485592e+00,1.193917e-23,-4.073874e-11
/out1 (Vin=0.8912752) Y,1.485600e+00,1.135517e-17,-5.412584e-07
/out1 (Vin=0.9020134) Y,1.485607e+00,8.204048e-22,-4.571458e-09
/out1 (Vin=0.9127517) Y,1.485613e+00,4.089447e-22,-2.852596e-09
/out1 (Vin=0.9234899) Y,1.485618e+00,2.658466e-23,-7.041155e-10
/out1 (Vin=0.9342282) Y,1.485623e+00,2.964656e-16,-2.758844e-06
/out1 (Vin=0.9449664) Y,1.485628e+00,1.008611e-22,-1.318130e-09
/out1 (Vin=0.9557047) Y,1.485632e+00,7.101947e-23,1.459047e-09
/out1 (Vin=0.966443) Y,1.485636e+00,2.976678e-24,-1.043370e-10
/out1 (Vin=0.9771812) Y,1.485640e+00,1.223467e-20,-1.635559e-08
/out1 (Vin=0.9879195) Y,1.485644e+00,1.508768e-20,-2.046039e-08
/out1 (Vin=0.9986577) Y,1.485647e+00,1.252917e-21,-5.207627e-09
/out1 (Vin=1.009396) Y,1.485650e+00,3.357828e-20,-2.716371e-08
/out1 (Vin=1.020134) Y,1.485653e+00,2.357067e-24,-1.229415e-10
/out1 (Vin=1.030872) Y,1.485656e+00,6.124853e-16,-3.976192e-06
