FeaturesParamTransientDCAAP.csv
Stage 1 Output
Signal, Mean, Variance, Slope
/out2 (Vin=0.1718121) Y,7.503504e-02,1.430128e-17,6.096458e-07
/out2 (Vin=0.1825503) Y,7.503464e-02,2.469157e-11,8.018765e-04
/out2 (Vin=0.1932886) Y,7.503504e-02,1.744815e-22,2.121553e-09
/out2 (Vin=0.2040268) Y,7.503504e-02,9.565811e-26,1.490194e-12
/out2 (Vin=0.2147651) Y,7.503504e-02,7.648210e-21,1.410328e-08
/out2 (Vin=0.2255034) Y,7.503481e-02,7.866491e-12,4.523970e-04
/out2 (Vin=0.2362416) Y,7.503504e-02,3.674874e-26,-9.194947e-12
/out2 (Vin=0.2469799) Y,7.503493e-02,1.768021e-12,2.143980e-04
/out2 (Vin=0.2577181) Y,7.503504e-02,6.057815e-21,1.254830e-08
/out2 (Vin=0.2684564) Y,7.503504e-02,7.764758e-26,-5.799214e-12
/out2 (Vin=0.2791946) Y,7.503504e-02,2.172877e-25,1.389806e-11
/out2 (Vin=0.2899329) Y,7.503504e-02,2.068228e-21,7.338240e-09
/out2 (Vin=0.3006711) Y,7.503490e-02,2.970098e-12,2.778474e-04
