FeaturesParamTransientDCANN.csv
Stage 1 Output
Signal, Mean, Variance, Slope
/out1 (Vin=0.3651007) Y,2.476802e-01,2.347545e-15,7.782589e-06
/out1 (Vin=0.3758389) Y,2.476807e-01,8.706749e-23,1.240871e-10
/out1 (Vin=0.3865772) Y,2.476814e-01,2.605611e-18,2.593050e-07
/out1 (Vin=0.3973154) Y,2.476821e-01,1.328538e-22,2.757637e-11
/out1 (Vin=0.4080537) Y,2.476829e-01,3.458535e-23,-5.036767e-11
/out1 (Vin=0.4187919) Y,2.476838e-01,7.050280e-23,4.787479e-11
/out1 (Vin=0.4295302) Y,2.476850e-01,2.364645e-19,7.806574e-08
/out1 (Vin=0.4402685) Y,2.476863e-01,3.534729e-23,-9.491512e-11
/out1 (Vin=0.4510067) Y,2.476878e-01,3.997566e-23,9.420461e-11
/out1 (Vin=0.461745) Y,2.476897e-01,2.100209e-22,1.500016e-10
/out1 (Vin=0.4724832) Y,2.476921e-01,3.604094e-23,-9.852755e-12
/out1 (Vin=0.4832215) Y,2.476953e-01,5.538400e-23,-9.339838e-13
/out1 (Vin=0.4939597) Y,2.477000e-01,3.193154e-23,2.709192e-11
/out1 (Vin=0.504698) Y,2.477084e-01,2.565987e-17,8.135349e-07
/out1 (Vin=0.5154362) Y,2.477277e-01,2.553799e-16,2.567032e-06
/out1 (Vin=0.5261745) Y,2.477641e-01,1.907239e-12,2.218567e-04
/out1 (Vin=0.5369128) Y,2.478184e-01,2.961580e-16,2.764221e-06
/out1 (Vin=0.547651) Y,2.478934e-01,2.742596e-16,2.660525e-06
/out1 (Vin=0.5583893) Y,2.479995e-01,2.616163e-16,2.598284e-06
/out1 (Vin=0.5691275) Y,2.481578e-01,3.233687e-16,2.888217e-06
/out1 (Vin=0.5798658) Y,2.484143e-01,2.687159e-16,2.633031e-06
/out1 (Vin=0.590604) Y,2.489295e-01,5.210747e-16,3.666302e-06
/out1 (Vin=0.6013423) Y,2.506900e-01,5.145894e-19,1.151635e-07
/out1 (Vin=0.6120805) Y,4.343465e-01,1.731831e-17,-9.848114e-09
/out1 (Vin=0.6228188) Y,1.483085e+00,2.860708e-24,-5.780941e-11
/out1 (Vin=0.633557) Y,1.485097e+00,5.276160e-24,-3.098222e-11
/out1 (Vin=0.6442953) Y,1.485107e+00,1.367547e-23,-8.890135e-11
/out1 (Vin=0.6550336) Y,1.485108e+00,1.035708e-23,3.459770e-11
/out1 (Vin=0.6657718) Y,1.485108e+00,9.459103e-24,-2.917002e-11
/out1 (Vin=0.6765101) Y,1.485108e+00,1.446195e-24,1.196849e-11
/out1 (Vin=0.6872483) Y,1.485108e+00,4.562172e-24,-2.943496e-11
/out1 (Vin=0.6979866) Y,1.485108e+00,1.929706e-23,-4.385536e-11
/out1 (Vin=0.7087248) Y,1.485108e+00,5.891823e-23,4.257235e-11
/out1 (Vin=0.7194631) Y,1.485108e+00,7.388686e-24,-2.634935e-11
/out1 (Vin=0.7302013) Y,1.485108e+00,9.774502e-24,-2.402446e-12
/out1 (Vin=0.7409396) Y,1.485108e+00,1.728342e-23,-1.902097e-11
/out1 (Vin=0.7516779) Y,1.485108e+00,6.013098e-24,1.807133e-11
/out1 (Vin=0.7624161) Y,1.485108e+00,3.034969e-23,-2.415471e-11
/out1 (Vin=0.7731544) Y,1.485108e+00,4.423412e-24,5.900624e-12
/out1 (Vin=0.7838926) Y,1.485108e+00,9.610665e-24,-1.372636e-11
/out1 (Vin=0.7946309) Y,1.485108e+00,6.107619e-24,4.678671e-11
/out1 (Vin=0.8053691) Y,1.485108e+00,7.306242e-24,-1.154414e-11
/out1 (Vin=0.8161074) Y,1.485108e+00,2.662410e-23,-6.777841e-10
/out1 (Vin=0.8268456) Y,1.485108e+00,1.920366e-23,1.044997e-10
/out1 (Vin=0.8375839) Y,1.485108e+00,3.631992e-23,6.263990e-11
/out1 (Vin=0.8483221) Y,1.485108e+00,3.106422e-22,-2.697004e-09
/out1 (Vin=0.8590604) Y,1.485108e+00,4.820740e-24,-2.230688e-11
/out1 (Vin=0.8697987) Y,1.485108e+00,1.627043e-23,2.993798e-11
/out1 (Vin=0.8805369) Y,1.485108e+00,5.721334e-24,1.734264e-10
/out1 (Vin=0.8912752) Y,1.485108e+00,1.589655e-23,8.683589e-12
/out1 (Vin=0.9020134) Y,1.485108e+00,2.086732e-24,4.179014e-12
/out1 (Vin=0.9127517) Y,1.485108e+00,4.841382e-24,5.037942e-11
/out1 (Vin=0.9234899) Y,1.485108e+00,4.786752e-24,-6.188610e-12
/out1 (Vin=0.9342282) Y,1.485108e+00,3.725776e-24,2.606856e-11
/out1 (Vin=0.9449664) Y,1.485108e+00,8.868643e-24,-3.217664e-11
/out1 (Vin=0.9557047) Y,1.485108e+00,8.537058e-24,-2.291766e-12
/out1 (Vin=0.966443) Y,1.485108e+00,5.762433e-24,1.882149e-12
/out1 (Vin=0.9771812) Y,1.485108e+00,2.671537e-23,-1.276165e-11
/out1 (Vin=0.9879195) Y,1.485108e+00,4.999581e-24,-3.338059e-11
/out1 (Vin=0.9986577) Y,1.485108e+00,6.864207e-24,-1.713374e-13
/out1 (Vin=1.009396) Y,1.485108e+00,1.617632e-24,-9.022995e-12
/out1 (Vin=1.020134) Y,1.485108e+00,4.168488e-24,-2.652138e-11
/out1 (Vin=1.030872) Y,1.485108e+00,2.792099e-24,3.743233e-11
/out1 (Vin=1.041611) Y,1.485108e+00,5.604020e-24,-2.103346e-11
/out1 (Vin=1.052349) Y,1.485108e+00,1.037168e-23,1.466684e-11
/out1 (Vin=1.063087) Y,1.485108e+00,5.852791e-24,3.839611e-11
/out1 (Vin=1.073826) Y,1.485108e+00,1.024084e-23,3.364331e-11
/out1 (Vin=1.084564) Y,1.485108e+00,1.049764e-22,7.860871e-11
/out1 (Vin=1.095302) Y,1.485108e+00,5.152883e-24,2.929677e-11
/out1 (Vin=1.10604) Y,1.485108e+00,4.645801e-23,3.176942e-11
/out1 (Vin=1.116779) Y,1.485108e+00,1.150748e-23,1.392472e-11
/out1 (Vin=1.127517) Y,1.485108e+00,5.686532e-24,1.426254e-11
/out1 (Vin=1.138255) Y,1.485108e+00,8.545281e-24,-3.589479e-11
/out1 (Vin=1.148993) Y,1.485108e+00,3.076224e-24,1.307817e-11
/out1 (Vin=1.159732) Y,1.485108e+00,2.351323e-23,-1.621430e-11
/out1 (Vin=1.17047) Y,1.485108e+00,1.022748e-23,1.882134e-11
/out1 (Vin=1.181208) Y,1.485108e+00,1.234985e-23,2.627310e-11
/out1 (Vin=1.191946) Y,1.485108e+00,8.063970e-24,6.248943e-11
/out1 (Vin=1.202685) Y,1.485108e+00,3.456510e-23,-1.077729e-10
/out1 (Vin=1.213423) Y,1.485108e+00,2.995613e-24,4.373704e-12
/out1 (Vin=1.224161) Y,1.485108e+00,4.532285e-24,-2.231846e-11
/out1 (Vin=1.234899) Y,1.485109e+00,2.676508e-23,-5.039068e-11
/out1 (Vin=1.245638) Y,1.485109e+00,5.481207e-24,4.403526e-11
/out1 (Vin=1.256376) Y,1.485109e+00,3.102858e-24,9.771665e-12
/out1 (Vin=1.267114) Y,1.485109e+00,2.394830e-23,-5.948247e-11
/out1 (Vin=1.277852) Y,1.485109e+00,8.162212e-24,-2.712672e-11
/out1 (Vin=1.288591) Y,1.485109e+00,1.703227e-23,1.845452e-11
/out1 (Vin=1.299329) Y,1.485109e+00,3.731917e-24,-2.958624e-11
/out1 (Vin=1.310067) Y,1.485109e+00,2.290375e-24,-2.718301e-11
/out1 (Vin=1.320805) Y,1.485109e+00,1.302302e-23,-2.028900e-11
/out1 (Vin=1.331544) Y,1.485109e+00,6.272204e-24,3.142693e-12
/out1 (Vin=1.342282) Y,1.485109e+00,2.909914e-23,-4.622291e-11
/out1 (Vin=1.35302) Y,1.485109e+00,1.186608e-23,-4.242766e-11
/out1 (Vin=1.363758) Y,1.485109e+00,8.833742e-24,-4.237232e-11
/out1 (Vin=1.374497) Y,1.485109e+00,1.161273e-23,6.049581e-11
/out1 (Vin=1.385235) Y,1.485109e+00,4.850268e-24,5.453557e-11
/out1 (Vin=1.395973) Y,1.485109e+00,2.736167e-24,6.351475e-11
/out1 (Vin=1.406711) Y,1.485109e+00,1.332894e-23,1.551865e-11
/out1 (Vin=1.41745) Y,1.485109e+00,1.996554e-24,-1.944888e-11
/out1 (Vin=1.428188) Y,1.485109e+00,2.549145e-23,4.230122e-11
/out1 (Vin=1.438926) Y,1.485109e+00,1.474760e-23,-1.871397e-11
/out1 (Vin=1.449664) Y,1.485109e+00,7.718189e-24,-9.927532e-11
/out1 (Vin=1.460403) Y,1.485109e+00,4.849650e-24,-7.024891e-12
/out1 (Vin=1.471141) Y,1.485109e+00,2.862194e-24,6.086003e-12
/out1 (Vin=1.481879) Y,1.485109e+00,5.491169e-24,-1.539735e-11
/out1 (Vin=1.492617) Y,1.485109e+00,3.515745e-23,-7.676301e-10
/out1 (Vin=1.503356) Y,1.485109e+00,9.599152e-24,-3.555597e-11
/out1 (Vin=1.514094) Y,1.485109e+00,3.479304e-23,-4.540995e-11
/out1 (Vin=1.524832) Y,1.485109e+00,2.080125e-20,-2.239190e-08
/out1 (Vin=1.53557) Y,1.485109e+00,7.907923e-24,6.102147e-12
/out1 (Vin=1.546309) Y,1.485109e+00,1.402108e-23,-5.013950e-11
/out1 (Vin=1.557047) Y,1.485109e+00,2.655322e-22,2.413113e-09
/out1 (Vin=1.567785) Y,1.485109e+00,2.666235e-23,-1.690709e-11
/out1 (Vin=1.578523) Y,1.485109e+00,1.338020e-23,-1.328989e-11
/out1 (Vin=1.589262) Y,1.485109e+00,1.478601e-23,1.164278e-11
/out1 (Vin=1.6) Y,1.485109e+00,2.458998e-24,-4.502955e-11
Stage 3 Output
/out2 (Vin=0) Y,2.495447e-01,1.198943e-11,5.576674e-04
/out2 (Vin=0.01073826) Y,2.495449e-01,8.720301e-13,1.503697e-04
/out2 (Vin=0.02147651) Y,2.495449e-01,6.324380e-19,1.281799e-07
/out2 (Vin=0.03221477) Y,2.495449e-01,3.982056e-16,3.213163e-06
