FeaturesParamTransientDCAPA.csv
Stage 1 Output
Signal, Mean, Variance, Slope
/out2 (Vin=0.0966443) Y,1.825786e-01,5.154633e-21,1.141473e-08
/out2 (Vin=0.1073826) Y,1.825786e-01,1.083478e-21,5.297985e-09
/out2 (Vin=0.1181208) Y,1.825786e-01,9.237223e-17,-1.547825e-06
/out2 (Vin=0.1288591) Y,1.825786e-01,3.928466e-23,2.374438e-10
/out2 (Vin=0.1395973) Y,1.825786e-01,7.988241e-16,4.546456e-06
/out2 (Vin=0.1503356) Y,1.825786e-01,1.913227e-23,-6.719744e-11
/out2 (Vin=0.1610738) Y,1.825786e-01,5.414121e-24,8.840705e-12
/out2 (Vin=0.1718121) Y,1.825786e-01,1.912100e-23,4.878196e-11
/out2 (Vin=0.1825503) Y,1.825786e-01,3.327808e-24,-3.267809e-11
/out2 (Vin=0.1932886) Y,1.825786e-01,1.414848e-23,3.274573e-11
/out2 (Vin=0.2040268) Y,1.825786e-01,8.106578e-23,-6.112220e-11
/out2 (Vin=0.2147651) Y,1.825786e-01,4.951675e-23,-5.242014e-11
/out2 (Vin=0.2255034) Y,1.825786e-01,5.384721e-24,-5.381969e-11
/out2 (Vin=0.2362416) Y,1.825786e-01,2.094646e-23,-1.455056e-10
/out2 (Vin=0.2469799) Y,1.825786e-01,3.928405e-23,-3.071643e-11
/out2 (Vin=0.2577181) Y,1.825786e-01,6.869197e-24,1.965964e-10
/out2 (Vin=0.2684564) Y,1.825786e-01,2.341926e-23,1.142949e-11
/out2 (Vin=0.2791946) Y,1.825786e-01,5.146638e-21,1.151578e-08
/out2 (Vin=0.2899329) Y,1.825786e-01,6.560795e-23,-6.986021e-11
/out2 (Vin=0.3006711) Y,1.825786e-01,5.793316e-16,3.871649e-06
/out2 (Vin=0.3114094) Y,1.825786e-01,5.147846e-21,1.155817e-08
