FeaturesParamTransientDCPAN.csv
Stage 1 Output
Signal, Mean, Variance, Slope
/out1 (Vin=0.04295302) Y,1.825786e-01,1.866474e-23,1.030832e-10
/out1 (Vin=0.05369128) Y,1.825786e-01,1.307269e-22,-1.137295e-10
/out1 (Vin=0.06442953) Y,1.825786e-01,2.439217e-23,7.069408e-11
/out1 (Vin=0.07516779) Y,1.825786e-01,1.362973e-23,-2.494617e-11
/out1 (Vin=0.08590604) Y,1.825786e-01,3.290021e-23,-3.836836e-11
/out1 (Vin=0.0966443) Y,1.825786e-01,5.312313e-21,1.139600e-08
/out1 (Vin=0.1073826) Y,1.825786e-01,5.181412e-21,1.154325e-08
/out1 (Vin=0.1181208) Y,1.825786e-01,5.283892e-21,1.156590e-08
/out1 (Vin=0.1288591) Y,1.825786e-01,8.391640e-24,1.551294e-11
/out1 (Vin=0.1395973) Y,1.825786e-01,2.015821e-23,-2.044465e-11
/out1 (Vin=0.1503356) Y,1.825786e-01,3.062327e-21,8.844381e-09
/out1 (Vin=0.1610738) Y,1.825786e-01,1.386584e-23,-3.595721e-11
/out1 (Vin=0.1718121) Y,1.825786e-01,1.096469e-22,-9.212434e-11
/out1 (Vin=0.1825503) Y,1.825786e-01,5.435981e-23,-2.530473e-11
/out1 (Vin=0.1932886) Y,1.825786e-01,1.067760e-22,-1.761301e-10
/out1 (Vin=0.2040268) Y,1.825786e-01,2.326994e-23,3.758119e-11
/out1 (Vin=0.2147651) Y,1.825786e-01,5.300808e-23,1.090126e-10
/out1 (Vin=0.2255034) Y,1.825786e-01,1.473991e-23,9.735037e-11
/out1 (Vin=0.2362416) Y,1.825786e-01,6.170218e-23,1.960572e-11
/out1 (Vin=0.2469799) Y,1.825786e-01,4.506151e-23,-3.480663e-11
/out1 (Vin=0.2577181) Y,1.825786e-01,9.092659e-24,-1.036700e-10
/out1 (Vin=0.2684564) Y,1.825786e-01,5.267133e-23,-1.582567e-10
/out1 (Vin=0.2791946) Y,1.825786e-01,6.575881e-23,9.450377e-11
/out1 (Vin=0.2899329) Y,1.825786e-01,2.496552e-23,-9.279032e-12
/out1 (Vin=0.3006711) Y,1.825786e-01,4.152670e-23,-4.313080e-11
/out1 (Vin=0.3114094) Y,1.825786e-01,7.144235e-23,1.192730e-10
/out1 (Vin=0.3221477) Y,1.825786e-01,2.712096e-23,1.009897e-10
/out1 (Vin=0.3328859) Y,1.825786e-01,3.776572e-23,1.589402e-11
/out1 (Vin=0.3436242) Y,1.825786e-01,6.239160e-23,-1.538197e-11
/out1 (Vin=0.3543624) Y,1.825786e-01,7.224381e-23,8.614600e-12
/out1 (Vin=0.3651007) Y,1.825786e-01,3.212616e-23,-2.075707e-12
/out1 (Vin=0.3758389) Y,1.825786e-01,2.669630e-23,7.146200e-11
/out1 (Vin=0.3865772) Y,1.825786e-01,2.530677e-23,2.901293e-11
/out1 (Vin=0.3973154) Y,1.825786e-01,2.611565e-23,1.717146e-11
/out1 (Vin=0.4080537) Y,1.825786e-01,5.125196e-23,-2.176752e-11
/out1 (Vin=0.4187919) Y,1.825786e-01,7.129085e-24,2.692604e-12
/out1 (Vin=0.4295302) Y,1.825786e-01,6.052110e-23,2.611886e-11
/out1 (Vin=0.4402685) Y,1.825786e-01,1.169579e-22,1.463348e-10
/out1 (Vin=0.4510067) Y,1.825786e-01,1.329032e-22,-1.238414e-10
/out1 (Vin=0.461745) Y,1.825786e-01,6.053840e-23,-4.720003e-11
/out1 (Vin=0.4724832) Y,1.825786e-01,3.273293e-23,-5.301344e-11
/out1 (Vin=0.4832215) Y,1.825786e-01,7.456529e-24,-6.746224e-11
/out1 (Vin=0.4939597) Y,1.825786e-01,2.026856e-23,-8.829599e-12
/out1 (Vin=0.504698) Y,1.825786e-01,2.908265e-23,7.027339e-11
/out1 (Vin=0.5154362) Y,1.825786e-01,1.682387e-22,1.908797e-10
/out1 (Vin=0.5261745) Y,1.825786e-01,6.219428e-22,4.184280e-10
/out1 (Vin=0.5369128) Y,1.825786e-01,8.370364e-23,1.443355e-10
/out1 (Vin=0.547651) Y,1.825786e-01,6.546478e-21,-1.297383e-08
/out1 (Vin=0.5583893) Y,1.825786e-01,9.277727e-16,-4.896421e-06
/out1 (Vin=0.5691275) Y,1.825786e-01,1.874237e-18,-2.202823e-07
/out1 (Vin=0.5798658) Y,1.825786e-01,2.479232e-23,-6.366006e-12
/out1 (Vin=0.590604) Y,1.825786e-01,2.646291e-22,-2.327382e-10
/out1 (Vin=0.6013423) Y,1.825786e-01,7.482407e-18,-4.398336e-07
/out1 (Vin=0.6120805) Y,1.825786e-01,8.290889e-24,3.209057e-11
/out1 (Vin=0.6228188) Y,1.825786e-01,4.884657e-23,1.273821e-10
/out1 (Vin=0.633557) Y,1.825786e-01,3.336056e-22,-1.646114e-10
/out1 (Vin=0.6442953) Y,1.825786e-01,7.379901e-23,1.033398e-10
/out1 (Vin=0.6550336) Y,1.825786e-01,1.388805e-18,-1.894654e-07
/out1 (Vin=0.6657718) Y,1.825786e-01,8.129396e-18,-4.584108e-07
/out1 (Vin=0.6765101) Y,1.825786e-01,3.049026e-21,8.923369e-09
/out1 (Vin=0.6872483) Y,1.825786e-01,4.998385e-23,-1.201460e-10
/out1 (Vin=0.6979866) Y,1.825786e-01,5.519363e-23,-5.821794e-11
/out1 (Vin=0.7087248) Y,1.825786e-01,8.428750e-24,1.278500e-11
/out1 (Vin=0.7194631) Y,1.825786e-01,4.242144e-23,3.926501e-11
/out1 (Vin=0.7302013) Y,1.825786e-01,4.431075e-23,-9.161339e-11
/out1 (Vin=0.7409396) Y,1.825786e-01,3.781904e-21,9.772080e-09
/out1 (Vin=0.7516779) Y,1.825786e-01,6.529723e-23,3.238572e-10
/out1 (Vin=0.7624161) Y,1.825786e-01,4.849869e-23,2.399526e-10
/out1 (Vin=0.7731544) Y,1.825786e-01,1.853292e-23,-6.581953e-11
/out1 (Vin=0.7838926) Y,1.825786e-01,3.673932e-23,-3.526830e-11
/out1 (Vin=0.7946309) Y,1.825786e-01,3.580688e-23,-1.356056e-10
/out1 (Vin=0.8053691) Y,1.825786e-01,7.712915e-24,-2.275787e-10
/out1 (Vin=0.8161074) Y,1.825786e-01,4.645375e-22,-2.985605e-10
/out1 (Vin=0.8268456) Y,1.825786e-01,2.815467e-23,-4.398885e-11
/out1 (Vin=0.8375839) Y,1.825786e-01,2.456167e-23,-1.250127e-12
/out1 (Vin=0.8483221) Y,1.825786e-01,2.300571e-23,2.906110e-11
/out1 (Vin=0.8590604) Y,1.825786e-01,5.851762e-23,7.062009e-10
/out1 (Vin=0.8697987) Y,1.825786e-01,2.139287e-23,6.223714e-11
/out1 (Vin=0.8805369) Y,1.825786e-01,6.488989e-23,-1.003305e-10
/out1 (Vin=0.8912752) Y,1.825786e-01,2.188359e-23,-1.456495e-11
/out1 (Vin=0.9020134) Y,1.825787e-01,6.520610e-23,9.922984e-10
/out1 (Vin=0.9127517) Y,1.825787e-01,2.129949e-23,-6.736031e-11
/out1 (Vin=0.9234899) Y,1.825787e-01,1.023710e-22,1.096015e-09
/out1 (Vin=0.9342282) Y,1.825787e-01,7.625869e-23,-5.646524e-11
/out1 (Vin=0.9449664) Y,1.825787e-01,1.673235e-22,1.381840e-09
/out1 (Vin=0.9557047) Y,1.825787e-01,1.540197e-22,-1.511394e-10
/out1 (Vin=0.966443) Y,1.825787e-01,1.947780e-22,-1.008638e-10
/out1 (Vin=0.9771812) Y,1.825787e-01,2.517552e-22,-1.006337e-10
/out1 (Vin=0.9879195) Y,1.825787e-01,5.794072e-22,3.684444e-09
/out1 (Vin=0.9986577) Y,1.825787e-01,3.511057e-23,5.831540e-11
/out1 (Vin=1.009396) Y,1.825787e-01,9.493904e-23,-1.206642e-10
/out1 (Vin=1.020134) Y,1.825787e-01,1.433668e-23,-2.142864e-12
/out1 (Vin=1.030872) Y,1.825787e-01,1.081642e-23,4.067354e-11
/out1 (Vin=1.041611) Y,1.825787e-01,5.474635e-23,5.047928e-11
/out1 (Vin=1.052349) Y,1.825787e-01,5.032835e-22,3.573519e-09
