FeaturesParamTransientDCNNN.csv
Stage 1 Output
Signal, Mean, Variance, Slope
/out1 (Vin=0.4187919) Y,2.805579e-01,2.791828e-32,-1.519911e-14
/out1 (Vin=0.4295302) Y,3.204034e-01,3.205298e-18,2.875566e-07
/out1 (Vin=0.4402685) Y,4.629062e-01,1.519995e-31,-1.273993e-14
/out1 (Vin=0.4510067) Y,7.291312e-01,2.476821e-19,-9.515515e-08
/out1 (Vin=0.461745) Y,1.044496e+00,8.467989e-20,-5.054027e-08
/out1 (Vin=0.4724832) Y,1.293269e+00,4.466925e-31,-1.887367e-14
/out1 (Vin=0.4832215) Y,1.389228e+00,1.786770e-30,-1.019610e-13
/out1 (Vin=0.4939597) Y,1.435146e+00,1.786770e-30,-1.509803e-14
/out1 (Vin=0.504698) Y,1.458428e+00,1.240812e-30,-8.207437e-14
/out1 (Vin=0.5154362) Y,1.468804e+00,7.941200e-31,-1.155803e-14
/out1 (Vin=0.5261745) Y,1.473466e+00,4.963250e-32,-2.559709e-14
/out1 (Vin=0.5369128) Y,1.476203e+00,1.168212e-17,-5.489718e-07
/out1 (Vin=0.547651) Y,1.478165e+00,1.786770e-30,-9.070378e-14
/out1 (Vin=0.5583893) Y,1.479697e+00,1.786770e-30,-4.087725e-14
/out1 (Vin=0.5691275) Y,1.480921e+00,7.941200e-31,-7.181599e-14
/out1 (Vin=0.5798658) Y,1.481871e+00,1.240812e-30,1.573564e-14
/out1 (Vin=0.590604) Y,1.482575e+00,7.941200e-31,-3.737850e-14
/out1 (Vin=0.6013423) Y,1.483096e+00,1.985300e-31,-5.050768e-14
/out1 (Vin=0.6120805) Y,1.483495e+00,2.649006e-20,2.614148e-08
/out1 (Vin=0.6228188) Y,1.483812e+00,4.466925e-31,-5.869950e-14
/out1 (Vin=0.633557) Y,1.484069e+00,4.963250e-32,-1.176216e-13
/out1 (Vin=0.6442953) Y,1.484283e+00,7.941200e-31,-6.391602e-15
/out1 (Vin=0.6550336) Y,1.484464e+00,7.941200e-31,-5.265468e-14
/out1 (Vin=0.6657718) Y,1.484619e+00,1.240812e-30,-5.976104e-14
/out1 (Vin=0.6765101) Y,1.484752e+00,7.941200e-31,-4.333377e-14
/out1 (Vin=0.6872483) Y,1.484868e+00,4.963250e-32,-1.434401e-14
/out1 (Vin=0.6979866) Y,1.484970e+00,4.466925e-31,-3.875510e-14
/out1 (Vin=0.7087248) Y,1.485058e+00,2.649007e-20,2.614141e-08
/out1 (Vin=0.7194631) Y,1.485136e+00,4.466925e-31,-2.548008e-13
/out1 (Vin=0.7302013) Y,1.485204e+00,7.941200e-31,-9.396175e-14
/out1 (Vin=0.7409396) Y,1.485264e+00,7.941200e-31,-1.042102e-13
/out1 (Vin=0.7516779) Y,1.485316e+00,6.622518e-21,-1.307090e-08
/out1 (Vin=0.7624161) Y,1.485362e+00,4.963250e-32,-1.448224e-13
/out1 (Vin=0.7731544) Y,1.485401e+00,1.240812e-30,-1.065374e-13
/out1 (Vin=0.7838926) Y,1.485436e+00,1.786770e-30,-1.665573e-13
/out1 (Vin=0.7946309) Y,1.485465e+00,1.240812e-30,1.279148e-14
/out1 (Vin=0.8053691) Y,1.485491e+00,4.466925e-31,-7.282737e-14
/out1 (Vin=0.8161074) Y,1.485513e+00,7.941200e-31,-3.311994e-14
/out1 (Vin=0.8268456) Y,1.485532e+00,2.458277e-19,4.374337e-08
/out1 (Vin=0.8375839) Y,1.485548e+00,1.240812e-30,-1.619569e-13
/out1 (Vin=0.8483221) Y,1.485561e+00,1.240812e-30,-1.320869e-13
/out1 (Vin=0.8590604) Y,1.485573e+00,7.941200e-31,-1.469562e-14
/out1 (Vin=0.8697987) Y,1.485583e+00,4.466925e-31,-6.933159e-14
/out1 (Vin=0.8805369) Y,1.485592e+00,0,-6.344292e-15
/out1 (Vin=0.8912752) Y,1.485600e+00,7.941200e-31,-9.016039e-14
/out1 (Vin=0.9020134) Y,1.485607e+00,7.941200e-31,-1.450645e-13
/out1 (Vin=0.9127517) Y,1.485613e+00,4.466925e-31,-2.890019e-14
/out1 (Vin=0.9234899) Y,1.485618e+00,1.985300e-31,-3.957397e-14
/out1 (Vin=0.9342282) Y,1.485623e+00,7.941200e-31,-1.632902e-13
/out1 (Vin=0.9449664) Y,1.485628e+00,7.941200e-31,-5.352897e-14
