/out0 X,/out0 YRe,/out0 YReImag,/out1 X,/out1 YRe,/out1 YReImag,/Vin X,/Vin YRe,/Vin YReImag,/out2 X,/out2 YRe,/out2 YReImag
293333333.3333333,-7.291003619708489e-05,-0.0001595697651279356,293333333.3333333,6.861053726036527e-07,-1.0304258873279e-07,293333333.3333333,0.005,0,293333333.3333333,3.6931741396305e-11,8.860323815051075e-10
299999999.9999999,-7.595468779102876e-05,-0.0001532597889493635,299999999.9999999,6.600863121101912e-07,-1.483675791235253e-07,299999999.9999999,0.005,0,299999999.9999999,1.21815837875313e-10,8.446163806623984e-10
306666666.6666666,-7.866329027555849e-05,-0.0001470989288476488,306666666.6666666,6.31974259672949e-07,-1.894459740623855e-07,306666666.6666666,0.005,0,306666666.6666666,1.971886842849908e-10,7.971056189491362e-10
313333333.3333333,-8.106091526882998e-05,-0.000141090925216116,313333333.3333333,6.022537177903744e-07,-2.264160233330881e-07,313333333.3333333,0.005,0,313333333.3333333,2.631713843516401e-10,7.449943730307329e-10
320000000,-8.317082903548947e-05,-0.0001352382549187828,320000000,5.713540072367031e-07,-2.594430943643358e-07,320000000,0.005,0,320000000,3.200348491860305e-10,6.896184390390336e-10
326666666.6666667,-8.501461922869204e-05,-0.0001295423272345861,326666666.6666667,5.396529763432902e-07,-2.887121233719653e-07,326666666.6666667,0.005,0,326666666.6666667,3.681654636982044e-10,6.321565951326891e-10
333333333.3333334,-8.661231465111002e-05,-0.0001240036514192914,333333333.3333334,5.074808817776332e-07,-3.144213230820137e-07,333333333.3333334,0.005,0,333333333.3333334,4.080352995413441e-10,5.736356734942988e-10
340000000.0000001,-8.798249779411784e-05,-0.0001186219800953399,340000000.0000001,4.751243113536212e-07,-3.367769837747687e-07,340000000.0000001,0.005,0,340000000.0000001,4.401766297783465e-10,5.149382290605117e-10
346666666.6666667,-8.914241013868283e-05,-0.000113396432031823,346666666.6666667,4.428300532289296e-07,-3.559892193928851e-07,346666666.6666667,0.005,0,346666666.6666667,4.651604275924745e-10,4.568119755061494e-10
353333333.3333334,-9.010805035837777e-05,-0.0001083255973299937,353333333.3333334,4.108088426346296e-07,-3.722685256468564e-07,353333333.3333334,0.005,0,353333333.3333334,4.835784903664553e-10,3.998803194961921e-10
360000000.0000001,-9.089426566549371e-05,-0.0001034076275733616,360000000.0000001,3.792389382746269e-07,-3.858230316957149e-07,360000000.0000001,0.005,0,360000000.0000001,4.960288130967139e-10,3.44653462639483e-10
366666666.6666668,-9.151483660913125e-05,-9.864031311154429e-05,366666666.6666668,3.482694969073046e-07,-3.968563408780254e-07,366666666.6666668,0.005,0,366666666.6666668,5.031038351247988e-10,2.915396584385647e-10
373333333.3333335,-9.198255567323929e-05,-9.40211493235505e-05,373333333.3333335,3.180237272497677e-07,-4.055658688101001e-07,373333333.3333335,0.005,0,373333333.3333335,5.05381196318775e-10,2.408563105961149e-10
380000000.0000002,-9.230930004499121e-05,-8.954739342789131e-05,380000000.0000002,2.886018139688487e-07,-4.121415989104166e-07,380000000.0000002,0.005,0,380000000.0000002,5.034166592582448e-10,1.928406812736012e-10
