/net06 X,/net06 Y,/net09 X,/net09 Y,/net08 X,/net08 Y,/net07 X,/net07 Y,/vout X,/vout Y
3.774989221007567e-08,0,3.774989221007567e-08,5,3.774989221007567e-08,1.249461050378381,3.774989221007567e-08,5,3.774989221007567e-08,1.885006236243602
3.812494610503784e-08,0,3.812494610503784e-08,5,3.812494610503784e-08,3.124730525189196,3.812494610503784e-08,5,3.812494610503784e-08,2.129885109970014
3.85e-08,0,3.85e-08,5,3.85e-08,5,3.85e-08,5,3.85e-08,2.376517167882498
3.862282780323178e-08,0,3.862282780323178e-08,5,3.862282780323178e-08,5,3.862282780323178e-08,4.385860983841071,3.862282780323178e-08,2.336700167067191
3.879659818610961e-08,0,3.879659818610961e-08,5,3.879659818610961e-08,5,3.879659818610961e-08,3.517009069451924,3.879659818610961e-08,2.279437652368357
3.895607184792181e-08,0,3.895607184792181e-08,5,3.895607184792181e-08,5,3.895607184792181e-08,2.71964076039094,3.895607184792181e-08,2.227003739195879
3.92750191715462e-08,0,3.92750191715462e-08,5,3.92750191715462e-08,5,3.92750191715462e-08,1.124904142268974,3.92750191715462e-08,2.122348729700405
3.95e-08,0,3.95e-08,5,3.95e-08,5,3.95e-08,0,3.95e-08,2.048774068496153
3.968704938471046e-08,0,3.968704938471046e-08,5,3.968704938471046e-08,5,3.968704938471046e-08,0,3.968704938471046e-08,2.048531645780837
3.99090937823095e-08,0,3.99090937823095e-08,5,3.99090937823095e-08,5,3.99090937823095e-08,0,3.99090937823095e-08,2.048538362342901
4.012090170642917e-08,0,4.012090170642917e-08,5,4.012090170642917e-08,5,4.012090170642917e-08,0,4.012090170642917e-08,2.048529285295702
4.054451755466852e-08,0,4.054451755466852e-08,5,4.054451755466852e-08,5,4.054451755466852e-08,0,4.054451755466852e-08,2.048538383957757
4.139174925114721e-08,0,4.139174925114721e-08,5,4.139174925114721e-08,5,4.139174925114721e-08,0,4.139174925114721e-08,2.048529192730214
4.25708746255736e-08,0,4.25708746255736e-08,5,4.25708746255736e-08,5,4.25708746255736e-08,0,4.25708746255736e-08,2.048538449677931
4.375e-08,0,4.375e-08,5,4.375e-08,5,4.375e-08,0,4.375e-08,2.048529166945989
4.408576796319745e-08,0,4.408576796319745e-08,5,4.408576796319745e-08,5,4.408576796319745e-08,1.678839815987267,4.408576796319745e-08,2.158197490348894
4.441788398159872e-08,0,4.441788398159872e-08,5,4.441788398159872e-08,5,4.441788398159872e-08,3.339419907993622,4.441788398159872e-08,2.267307262563595
4.475e-08,0,4.475e-08,5,4.475e-08,5,4.475e-08,5,4.475e-08,2.376796315195545
