/out0 X,/out0 Y,/out1 X,/out1 Y,/Vin X,/Vin Y
0.001480000000000003,0.1838792873468827,0.001480000000000003,0.2476712174724976,0.001480000000000003,0.4781333308391072
0.001500000000000003,0.1838085607017766,0.001500000000000003,0.2476703985667945,0.001500000000000003,0.4749999999999996
0.001520000000000003,0.1837435634624853,0.001520000000000003,0.2476696480111969,0.001520000000000003,0.471866669160892
0.001540000000000003,0.1836844814117563,0.001540000000000003,0.2476689662334328,0.001540000000000003,0.4687827528208782
0.001560000000000003,0.183631168882877,0.001560000000000003,0.2476683526084987,0.001560000000000003,0.4657968861828826
0.001580000000000003,0.1835836753310629,0.001580000000000003,0.2476678060307315,0.001580000000000003,0.4629561581474567
0.001600000000000003,0.1835417910523873,0.001600000000000003,0.2476673252226286,0.001600000000000003,0.4603053686926878
0.001620000000000003,0.1835055174418992,0.001620000000000003,0.24766690859663,0.001620000000000003,0.4578863223517824
0.001640000000000003,0.1834746346896602,0.001640000000000003,0.2476665548204022,0.001640000000000003,0.455737168930605
0.001660000000000003,0.1834491391603171,0.001660000000000003,0.2476662623310174,0.001660000000000003,0.4538918018624494
0.001680000000000003,0.1834288286890502,0.001680000000000003,0.2476660300477712,0.001680000000000003,0.4523793236883493
0.001700000000000003,0.1834137200381969,0.001700000000000003,0.247665856702151,0.001700000000000003,0.451223587092621
0.001720000000000003,0.183403645663056,0.001720000000000003,0.2476657416729982,0.001720000000000003,0.4504428187317827
0.001740000000000003,0.1833986591625959,0.001740000000000003,0.2476656841428731,0.001740000000000003,0.4500493317892932
0.001760000000000003,0.1833986374052003,0.001760000000000003,0.2476656840748514,0.001760000000000003,0.4500493317892932
0.001780000000000003,0.183403679798013,0.001780000000000003,0.2476657412075053,0.001780000000000003,0.4504428187317828
0.001800000000000003,0.1834137101428236,0.001800000000000003,0.2476658560860806,0.001800000000000003,0.4512235870926213
0.001820000000000003,0.1834288749508848,0.001820000000000003,0.2476660290384963,0.001820000000000003,0.4523793236883497
0.001840000000000004,0.1834491397958735,0.001840000000000004,0.24766626113705,0.001840000000000004,0.4538918018624499
0.001860000000000004,0.1834746920483157,0.001860000000000004,0.247666553230405,0.001860000000000004,0.4557371689306056
0.001880000000000004,0.1835055263658021,0.001880000000000004,0.2476669067728689,0.001880000000000004,0.4578863223517832
0.001900000000000004,0.1835418576613704,0.001900000000000004,0.247667322994832,0.001900000000000004,0.4603053686926886
0.001920000000000004,0.1835836892442154,0.001920000000000004,0.2476678035102977,0.001920000000000004,0.4629561581474576
0.001940000000000004,0.1836312420586304,0.001940000000000004,0.2476683496816822,0.001940000000000004,0.4657968861828836
0.001960000000000004,0.1836844958389131,0.001960000000000004,0.2476689629304339,0.001960000000000004,0.4687827528208792
0.001980000000000004,0.1837436397501347,0.001980000000000004,0.2476696443201406,0.001980000000000004,0.471866669160893
0.002000000000000004,0.1838085698887237,0.002000000000000004,0.2476703943937467,0.002000000000000004,0.4750000000000006
0.002020000000000004,0.1838793627149805,0.002020000000000004,0.2476712129679215,0.002020000000000004,0.4781333308391082
0.002040000000000004,0.1839556985484643,0.002040000000000004,0.2476720981746725,0.002040000000000004,0.481217247179122
0.002060000000000004,0.1840373513950163,0.002060000000000004,0.2476730463282282,0.002060000000000004,0.4842031138171175
0.002080000000000004,0.1841234888387359,0.002080000000000004,0.2476740496335999,0.002080000000000004,0.4870438418525434
0.002100000000000004,0.1842131716347816,0.002100000000000004,0.247675096013454,0.002100000000000004,0.4896946313073123
0.002120000000000004,0.1843044861143904,0.002120000000000004,0.2476761648625077,0.002120000000000004,0.4921136776482177
0.002140000000000004,0.1843951188780419,0.002140000000000004,0.2476772277093687,0.002140000000000004,0.4942628310693951
0.002160000000000004,0.1844814106869051,0.002160000000000004,0.247678242936292,0.002160000000000004,0.4961081981375507
0.002180000000000004,0.184559311663629,0.002180000000000004,0.2476791609498308,0.002180000000000004,0.4976206763116507
0.002200000000000004,0.1846236924581822,0.002200000000000004,0.2476799220296365,0.002200000000000004,0.4987764129073791
0.002220000000000005,0.1846700696018413,0.002220000000000005,0.2476804707539587,0.002220000000000005,0.4995571812682174
0.002240000000000005,0.1846942309689415,0.002240000000000005,0.2476807579433565,0.002240000000000005,0.4999506682107068
0.002260000000000005,0.1846943267470192,0.002260000000000005,0.2476807595425307,0.002260000000000005,0.4999506682107067
0.002280000000000005,0.1846700032057395,0.002280000000000005,0.2476804728781092,0.002280000000000005,0.4995571812682171
0.002300000000000005,0.1846237965663586,0.002300000000000005,0.2476799267850699,0.002300000000000005,0.4987764129073786
0.002320000000000005,0.1845592586833072,0.002320000000000005,0.2476791657498337,0.002320000000000005,0.4976206763116502
0.002340000000000005,0.1844814909774499,0.002340000000000005,0.2476782492394124,0.002340000000000005,0.49610819813755
