/out0 X,/out0 YRe,/out0 YReImag,/out1 X,/out1 YRe,/out1 YReImag,/Vin X,/Vin YRe,/Vin YReImag,/out2 X,/out2 YRe,/out2 YReImag
286666666.6666666,-6.920812099891769e-05,-0.0001655452260907381,286666666.6666666,6.49448502599635e-06,4.766441748585093e-07,286666666.6666666,0.005,0,286666666.6666666,-6.626380472693882e-11,9.470470552832845e-10
293333333.3333333,-7.259961311203681e-05,-0.0001591234680582096,293333333.3333333,6.276255475013084e-06,4.058081311603857e-08,293333333.3333333,0.005,0,293333333.3333333,4.162566274033522e-11,9.136876595196767e-10
299999999.9999999,-7.563094898613122e-05,-0.0001528450778089014,299999999.9999999,6.039175612786168e-06,-3.571893035957934e-07,299999999.9999999,0.005,0,299999999.9999999,1.383810036949885e-10,8.705100497165204e-10
306666666.6666666,-7.832890778323287e-05,-0.0001467151107193054,306666666.6666666,5.787358583411003e-06,-7.17910203371646e-07,306666666.6666666,0.005,0,306666666.6666666,2.238984967767252e-10,8.196331802279439e-10
313333333.3333333,-8.071833567481948e-05,-0.0001407371621994528,313333333.3333333,5.524475108827807e-06,-1.043031954123586e-06,313333333.3333333,0.005,0,313333333.3333333,2.983205587948606e-10,7.629605576044559e-10
320000000,-8.282228111258245e-05,-0.0001349135932537154,320000000,5.253782195741462e-06,-1.334156258791843e-06,320000000,0.005,0,320000000,3.61981689013525e-10,7.021797845306632e-10
326666666.6666667,-8.466212311494362e-05,-0.0001292457229430876,326666666.6666667,4.978152619952511e-06,-1.592990516545552e-06,326666666.6666667,0.005,0,326666666.6666667,4.153618596792128e-10,6.387680279788611e-10
333333333.3333334,-8.625769211443377e-05,-0.0001237339927383841,333333333.3333334,4.700104464217101e-06,-1.821309296667872e-06,333333333.3333334,0.005,0,333333333.3333334,4.590468426848733e-10,5.740017122839214e-10
340000000.0000001,-8.762738320720037e-05,-0.0001183781069767204,340000000.0000001,4.421830166305998e-06,-2.020922275058073e-06,340000000.0000001,0.005,0,340000000.0000001,4.936948713447368e-10,5.08969074633352e-10
346666666.6666667,-8.878826185882155e-05,-0.0001131771529780623,346666666.6666667,4.145224678230056e-06,-2.193647782214672e-06,346666666.6666667,0.005,0,346666666.6666667,5.200089956282844e-10,4.4458450550583e-10
353333333.3333334,-8.975616226451741e-05,-0.000108129703828303,353333333.3333334,3.871912452231325e-06,-2.341291204010906e-06,353333333.3333334,0.005,0,353333333.3333334,5.387144838614762e-10,3.816038350455804e-10
360000000.0000001,-9.054577865662165e-05,-0.0001032339063740205,360000000.0000001,3.603273059990073e-06,-2.465627562224848e-06,360000000.0000001,0.005,0,360000000.0000001,5.505406429226688e-10,3.206399238442277e-10
366666666.6666668,-9.117074991038646e-05,-9.848755658327043e-05,366666666.6666668,3.340465322819304e-06,-2.568387680156101e-06,366666666.6666668,0.005,0,366666666.6666668,5.562064637853451e-10,2.621780784349894e-10
373333333.3333335,-9.164373783155741e-05,-9.388816410151338e-05,373333333.3333335,3.084449886316226e-06,-2.651247409800979e-06,373333333.3333335,0.005,0,373333333.3333335,5.564095437299666e-10,2.06590943067826e-10
380000000.0000002,-9.197649952605335e-05,-8.943300755348782e-05,380000000.0000002,2.836010215933832e-06,-2.715819461415004e-06,380000000.0000002,0.005,0,380000000.0000002,5.518177861310805e-10,1.541526246684405e-10
386666666.6666669,-9.217995424968261e-05,-8.511918191162248e-05,386666666.6666669,2.595772022693313e-06,-2.763647433810879e-06,386666666.6666669,0.005,0,386666666.6666669,5.430634300373037e-10,1.050518913939543e-10
393333333.3333336,-9.226424512911919e-05,-8.094363905496089e-05,393333333.3333336,2.364221152862398e-06,-2.796201695313023e-06,393333333.3333336,0.005,0,393333333.3333336,5.307390126457117e-10,5.940435054339489e-11
400000000.0000002,-9.223879613200638e-05,-7.690322247631013e-05,400000000.0000002,2.14171999334959e-06,-2.814876811187297e-06,400000000.0000002,0.005,0,400000000.0000002,5.153949165766944e-10,1.726356191309787e-11
406666666.6666669,-9.211236464501979e-05,-7.29946969551585e-05,406666666.6666669,1.928522457298337e-06,-2.820990253927583e-06,406666666.6666669,0.005,0,406666666.6666669,4.975381996052688e-10,-2.136891926205885e-11
413333333.3333336,-9.189308999803533e-05,-6.921477389680122e-05,413333333.3333336,1.724787622936774e-06,-2.815782168761907e-06,413333333.3333336,0.005,0,413333333.3333336,4.776324466627811e-10,-5.653454756311632e-11
420000000.0000003,-9.158853825350128e-05,-6.556013293516936e-05,420000000.0000003,1.530592103962757e-06,-2.800415998513147e-06,420000000.0000003,0.005,0,420000000.0000003,4.560984221557086e-10,-8.830979856099194e-11
426666666.666667,-9.120574355433783e-05,-6.202744031381488e-05,426666666.666667,1.345941232478982e-06,-2.775979799591451e-06,426666666.666667,0.005,0,426666666.666667,4.333153348959054e-10,-1.167991299191484e-10
433333333.3333337,-9.075124630755142e-05,-5.86133644845046e-05,433333333.3333337,1.170779136154298e-06,-2.743488105571833e-06,433333333.3333337,0.005,0,433333333.3333337,4.096225583533062e-10,-1.421288277814011e-10
440000000.0000004,-9.023112845537559e-05,-5.531458930307658e-05,440000000.0000004,1.004997790494544e-06,-2.703884215986588e-06,440000000.0000004,0.005,0,440000000.0000004,3.853216755898434e-10,-1.644416689798657e-10
446666666.666667,-8.965104606891194e-05,-5.212782514836166e-05,446666666.666667,8.484451251780128e-07,-2.658042806646596e-06,446666666.666667,0.005,0,446666666.666667,3.606787414871125e-10,-1.838923277715831e-10
453333333.3333337,-8.90162594792765e-05,-4.904981824545643e-05,453333333.3333337,7.009322605888847e-07,-2.606772774062743e-06,453333333.3333337,0.005,0,453333333.3333337,3.359266749385029e-10,-2.006434562049491e-10
460000000.0000004,-8.833166114473326e-05,-4.60773584351949e-05,460000000.0000004,5.622399473440154e-07,-2.550820240555496e-06,460000000.0000004,0.005,0,460000000.0000004,3.112677108674202e-10,-2.148623692055051e-10
466666666.6666671,-8.760180143552603e-05,-4.320728559991138e-05,466666666.6666671,4.321242778111498e-07,-2.490871658901063e-06,466666666.6666671,0.005,0,466666666.6666671,2.868758565676875e-10,-2.267182686202986e-10
