FeaturesParamTransientACNPN.csv
Stage 1 Output
Signal, RMS, Variance, Slope, MAE, MSE
/out1 (OFF=0.2612416) Y,7.504345e-02,8.654757e-16,-8.642375e-06,1.749340e-01,3.060190e-02
/out1 (OFF=0.264094) Y,7.504351e-02,9.943445e-16,-9.262729e-06,1.749508e-01,3.060777e-02
/out1 (OFF=0.2669463) Y,7.504357e-02,1.142117e-15,-9.927898e-06,1.749687e-01,3.061406e-02
/out1 (OFF=0.2697987) Y,7.504364e-02,1.311605e-15,-1.063944e-05,1.749880e-01,3.062080e-02
/out1 (OFF=0.272651) Y,7.504372e-02,1.506056e-15,-1.140063e-05,1.750086e-01,3.062802e-02
/out1 (OFF=0.2755034) Y,7.504380e-02,1.760999e-15,-1.132031e-05,1.750307e-01,3.063576e-02
/out1 (OFF=0.2783557) Y,7.504389e-02,2.013960e-15,-1.224357e-05,1.750544e-01,3.064406e-02
/out1 (OFF=0.2812081) Y,7.504398e-02,2.311753e-15,-1.313276e-05,1.750798e-01,3.065295e-02
/out1 (OFF=0.2840604) Y,7.504408e-02,2.650513e-15,-1.413669e-05,1.751070e-01,3.066247e-02
/out1 (OFF=0.2869128) Y,7.504419e-02,3.008228e-15,-1.611266e-05,1.751362e-01,3.067268e-02
/out1 (OFF=0.2897651) Y,7.504430e-02,3.457069e-15,-1.727218e-05,1.751674e-01,3.068362e-02
/out1 (OFF=0.2926174) Y,7.504442e-02,3.974646e-15,-1.852041e-05,1.752009e-01,3.069536e-02
/out1 (OFF=0.2954698) Y,7.504456e-02,4.572210e-15,-1.986430e-05,1.752368e-01,3.070794e-02
/out1 (OFF=0.2983221) Y,7.504470e-02,5.295400e-15,-2.041511e-05,1.752753e-01,3.072144e-02
/out1 (OFF=0.3011745) Y,7.504485e-02,6.087888e-15,-2.208960e-05,1.753166e-01,3.073590e-02
/out1 (OFF=0.3040268) Y,7.504501e-02,7.013645e-15,-2.380915e-05,1.753610e-01,3.075148e-02
/out1 (OFF=0.3068792) Y,7.504519e-02,8.094823e-15,-2.557988e-05,1.754086e-01,3.076819e-02
/out1 (OFF=0.3097315) Y,7.504537e-02,9.348579e-15,-2.757008e-05,1.754598e-01,3.078614e-02
/out1 (OFF=0.3125839) Y,7.504558e-02,1.081044e-14,-2.974041e-05,1.755148e-01,3.080545e-02
/out1 (OFF=0.3154362) Y,7.504579e-02,1.252986e-14,-3.194412e-05,1.755740e-01,3.082623e-02
/out1 (OFF=0.3182886) Y,7.504603e-02,1.453511e-14,-3.448124e-05,1.756377e-01,3.084860e-02
/out1 (OFF=0.3211409) Y,7.504628e-02,1.689158e-14,-3.724620e-05,1.757063e-01,3.087272e-02
/out1 (OFF=0.3239933) Y,7.504655e-02,1.966843e-14,-4.026787e-05,1.757804e-01,3.089874e-02
/out1 (OFF=0.3268456) Y,7.504685e-02,2.297490e-14,-4.328583e-05,1.758603e-01,3.092684e-02
/out1 (OFF=0.329698) Y,7.504716e-02,2.680901e-14,-4.809867e-05,1.759466e-01,3.095722e-02
/out1 (OFF=0.3325503) Y,7.504751e-02,3.147519e-14,-5.118561e-05,1.760400e-01,3.099010e-02
/out1 (OFF=0.3354027) Y,7.504788e-02,3.697221e-14,-5.646297e-05,1.761413e-01,3.102575e-02
/out1 (OFF=0.338255) Y,7.504829e-02,4.360529e-14,-6.133546e-05,1.762510e-01,3.106442e-02
/out1 (OFF=0.3411074) Y,7.504872e-02,5.159283e-14,-6.672331e-05,1.763704e-01,3.110651e-02
/out1 (OFF=0.3439597) Y,7.504920e-02,6.125475e-14,-7.270211e-05,1.765002e-01,3.115232e-02
/out1 (OFF=0.3468121) Y,7.504972e-02,7.299823e-14,-7.936423e-05,1.766417e-01,3.120231e-02
/out1 (OFF=0.3496644) Y,7.505030e-02,8.734497e-14,-8.681154e-05,1.767963e-01,3.125695e-02
/out1 (OFF=0.3525168) Y,7.505091e-02,1.355210e-13,-6.718582e-05,1.769656e-01,3.131683e-02
/out1 (OFF=0.3553691) Y,7.505161e-02,1.267424e-13,-1.045495e-04,1.771513e-01,3.138258e-02
/out1 (OFF=0.3582215) Y,7.505236e-02,1.538133e-13,-1.151905e-04,1.773554e-01,3.145496e-02
/out1 (OFF=0.3610738) Y,7.505302e-02,4.791518e-12,2.174348e-04,1.775808e-01,3.153496e-02
/out1 (OFF=0.3639262) Y,7.505411e-02,2.304003e-13,-1.409875e-04,1.778296e-01,3.162340e-02
/out1 (OFF=0.3667785) Y,7.505513e-02,2.846412e-13,-1.567042e-04,1.781058e-01,3.172171e-02
/out1 (OFF=0.3696309) Y,7.505627e-02,3.540953e-13,-1.747567e-04,1.784133e-01,3.183132e-02
/out1 (OFF=0.3724832) Y,7.505754e-02,4.438251e-13,-1.951783e-04,1.787567e-01,3.195398e-02
/out1 (OFF=0.3753356) Y,7.505897e-02,5.607756e-13,-2.198265e-04,1.791418e-01,3.209181e-02
/out1 (OFF=0.3781879) Y,7.506057e-02,7.148355e-13,-2.477332e-04,1.795755e-01,3.224741e-02
/out1 (OFF=0.3810403) Y,7.506239e-02,9.198532e-13,-2.816656e-04,1.800662e-01,3.242392e-02
/out1 (OFF=0.3838926) Y,7.506446e-02,1.195973e-12,-3.210587e-04,1.806243e-01,3.262524e-02
/out1 (OFF=0.386745) Y,7.506683e-02,1.572495e-12,-3.673361e-04,1.812626e-01,3.285624e-02
