FeaturesParamTransientACAAP.csv
Stage 1 Output
Signal, RMS, Variance, Slope, MAE, MSE
/out0 (OFF=0.575) Y,2.168836e-01,1.535739e-06,-3.640169e-01,9.827844e-01,9.658909e-01
Stage 2 Output
/out1 (OFF=0.15) Y,1.825816e-01,8.188865e-18,-4.614415e-07,6.718370e-02,4.513650e-03
/out1 (OFF=0.1528523) Y,1.825816e-01,5.275310e-23,-8.273931e-10,6.718488e-02,4.513809e-03
/out1 (OFF=0.1557047) Y,1.825816e-01,7.497879e-23,-1.540281e-09,6.718558e-02,4.513902e-03
/out1 (OFF=0.158557) Y,1.825816e-01,6.463119e-23,-1.632602e-09,6.718663e-02,4.514043e-03
/out1 (OFF=0.1614094) Y,1.825816e-01,9.568455e-23,-1.848061e-09,6.718777e-02,4.514197e-03
/out1 (OFF=0.1642617) Y,1.825816e-01,5.756070e-23,-1.971228e-09,6.718902e-02,4.514364e-03
/out1 (OFF=0.1671141) Y,1.825816e-01,8.910370e-17,-1.520129e-06,6.719036e-02,4.514544e-03
/out1 (OFF=0.1699664) Y,1.825816e-01,7.008406e-20,4.008285e-08,6.719182e-02,4.514740e-03
/out1 (OFF=0.1728188) Y,1.825816e-01,2.156537e-13,7.458807e-05,6.719343e-02,4.514957e-03
/out1 (OFF=0.1756711) Y,1.825816e-01,3.232554e-21,6.353958e-09,6.719510e-02,4.515182e-03
/out1 (OFF=0.1785235) Y,1.825816e-01,2.931693e-22,-2.987797e-09,6.719695e-02,4.515430e-03
/out1 (OFF=0.1813758) Y,1.825816e-01,4.076525e-22,-3.197650e-09,6.719894e-02,4.515698e-03
/out1 (OFF=0.1842282) Y,1.825816e-01,1.452532e-22,-3.239293e-09,6.720110e-02,4.515988e-03
/out1 (OFF=0.1870805) Y,1.825816e-01,8.740514e-19,1.463741e-07,6.720344e-02,4.516302e-03
/out1 (OFF=0.1899329) Y,1.825816e-01,5.428124e-21,7.725836e-09,6.720596e-02,4.516642e-03
/out1 (OFF=0.1927852) Y,1.825816e-01,3.331718e-22,-4.304342e-09,6.720869e-02,4.517008e-03
/out1 (OFF=0.1956376) Y,1.825816e-01,2.156834e-18,2.312506e-07,6.721164e-02,4.517404e-03
/out1 (OFF=0.1984899) Y,1.825816e-01,1.236158e-18,1.736678e-07,6.721481e-02,4.517831e-03
/out1 (OFF=0.2013423) Y,1.825816e-01,1.288492e-14,1.822704e-05,6.721825e-02,4.518294e-03
/out1 (OFF=0.2041946) Y,1.825816e-01,1.090891e-18,1.614151e-07,6.722195e-02,4.518790e-03
/out1 (OFF=0.207047) Y,1.825816e-01,4.556556e-22,-6.253143e-09,6.722594e-02,4.519327e-03
/out1 (OFF=0.2098993) Y,1.825816e-01,1.393200e-19,5.331392e-08,6.723024e-02,4.519905e-03
/out1 (OFF=0.2127517) Y,1.825816e-01,3.534731e-21,1.698859e-09,6.723488e-02,4.520529e-03
/out1 (OFF=0.215604) Y,1.825816e-01,6.023218e-21,4.146443e-09,6.723987e-02,4.521201e-03
/out1 (OFF=0.2184564) Y,1.825816e-01,8.724514e-22,-8.231931e-09,6.724525e-02,4.521924e-03
/out1 (OFF=0.2213087) Y,1.825816e-01,9.197349e-22,-8.754401e-09,6.725104e-02,4.522702e-03
/out1 (OFF=0.2241611) Y,1.825816e-01,1.069069e-21,-9.398388e-09,6.725727e-02,4.523541e-03
/out1 (OFF=0.2270134) Y,1.825816e-01,1.192781e-21,-1.005851e-08,6.726398e-02,4.524443e-03
/out1 (OFF=0.2298658) Y,1.825816e-01,1.368858e-21,-1.081864e-08,6.727118e-02,4.525412e-03
/out1 (OFF=0.2327181) Y,1.825816e-01,1.316602e-16,1.830788e-06,6.727893e-02,4.526455e-03
/out1 (OFF=0.2355705) Y,1.825816e-01,2.577045e-16,2.565918e-06,6.728726e-02,4.527575e-03
/out1 (OFF=0.2384228) Y,1.825816e-01,2.040837e-21,-1.316799e-08,6.729620e-02,4.528779e-03
/out1 (OFF=0.2412752) Y,1.825816e-01,5.654375e-19,1.064290e-07,6.730581e-02,4.530072e-03
/out1 (OFF=0.2441275) Y,1.825816e-01,2.711735e-21,-1.497710e-08,6.731612e-02,4.531460e-03
/out1 (OFF=0.2469799) Y,1.825816e-01,1.923518e-16,2.211615e-06,6.732719e-02,4.532951e-03
/out1 (OFF=0.2498322) Y,1.825816e-01,5.763511e-21,-9.489003e-09,6.733907e-02,4.534550e-03
/out1 (OFF=0.2526846) Y,1.825816e-01,4.372648e-21,-1.494334e-08,6.735181e-02,4.536266e-03
