FeaturesParamTransientACNNP.csv
Stage 1 Output
Signal, RMS, Variance, Slope, MAE, MSE
/out0 (OFF=0.4580537) Y,5.365339e-01,5.373489e-05,-2.153735e+00,4.987212e-09,3.387560e-15
/out0 (OFF=0.460906) Y,5.514387e-01,5.548736e-05,-2.188573e+00,2.510527e-10,8.562781e-20
/out0 (OFF=0.4637584) Y,5.665766e-01,5.717761e-05,-2.221658e+00,2.646474e-10,9.927730e-20
/out0 (OFF=0.4666107) Y,5.819358e-01,5.880525e-05,-2.253058e+00,2.558538e-10,8.649518e-20
/out0 (OFF=0.4694631) Y,5.975047e-01,6.036842e-05,-2.282808e+00,2.747893e-10,1.040192e-19
/out0 (OFF=0.4723154) Y,6.132722e-01,6.186423e-05,-2.310918e+00,2.497961e-10,8.512556e-20
/out0 (OFF=0.4751678) Y,6.292269e-01,6.328902e-05,-2.337378e+00,2.475032e-10,8.462795e-20
/out0 (OFF=0.4780201) Y,6.453574e-01,6.463856e-05,-2.362168e+00,2.677235e-10,9.860312e-20
/out0 (OFF=0.4808725) Y,6.616523e-01,6.590825e-05,-2.385256e+00,2.651774e-10,9.149629e-20
/out0 (OFF=0.4837248) Y,6.780996e-01,6.709318e-05,-2.406603e+00,2.436150e-10,7.687206e-20
/out0 (OFF=0.4865772) Y,6.946872e-01,6.818828e-05,-2.426165e+00,2.393563e-10,7.514466e-20
/out0 (OFF=0.4894295) Y,7.114028e-01,6.918838e-05,-2.443893e+00,2.644145e-10,9.549046e-20
/out0 (OFF=0.4922819) Y,7.282336e-01,7.008831e-05,-2.459736e+00,2.696326e-10,9.669835e-20
/out0 (OFF=0.4951342) Y,7.451664e-01,7.088302e-05,-2.473643e+00,2.697684e-10,9.542454e-20
/out0 (OFF=0.4979866) Y,7.621879e-01,7.156766e-05,-2.485561e+00,2.518044e-10,8.478689e-20
/out0 (OFF=0.5008389) Y,7.792841e-01,7.213768e-05,-2.495440e+00,2.487740e-10,8.022842e-20
/out0 (OFF=0.5036913) Y,7.964409e-01,7.258885e-05,-2.503232e+00,2.588853e-10,9.567753e-20
/out0 (OFF=0.5065436) Y,8.136438e-01,7.291761e-05,-2.508895e+00,2.732575e-10,1.043995e-19
/out0 (OFF=0.509396) Y,8.308782e-01,7.312096e-05,-2.512392e+00,2.562364e-10,8.751795e-20
/out0 (OFF=0.5122483) Y,8.481289e-01,7.319679e-05,-2.513694e+00,2.494576e-10,8.382679e-20
/out0 (OFF=0.5151007) Y,8.653810e-01,7.314399e-05,-2.512788e+00,2.596762e-10,9.654636e-20
/out0 (OFF=0.517953) Y,8.826193e-01,7.296212e-05,-2.509662e+00,2.706244e-10,1.000925e-19
/out0 (OFF=0.5208054) Y,8.998284e-01,7.265180e-05,-2.504319e+00,2.629753e-10,9.821970e-20
/out0 (OFF=0.5236577) Y,9.169932e-01,7.221471e-05,-2.496774e+00,2.681169e-10,1.019487e-19
/out0 (OFF=0.5265101) Y,9.340988e-01,7.165345e-05,-2.487053e+00,2.726410e-10,1.055177e-19
/out0 (OFF=0.5293624) Y,9.511302e-01,7.097146e-05,-2.475188e+00,2.802961e-10,1.112147e-19
/out0 (OFF=0.5322148) Y,9.680729e-01,7.017276e-05,-2.461221e+00,2.896604e-10,1.202391e-19
/out0 (OFF=0.5350671) Y,9.849127e-01,6.926170e-05,-2.445191e+00,2.575363e-10,8.825658e-20
