FeaturesParamTransientACAPN.csv
Stage 1 Output
Signal, RMS, Variance, Slope, MAE, MSE
/out0 (OFF=0.5607383) Y,2.064173e-01,7.610672e-07,-2.562839e-01,9.229655e-01,8.519087e-01
/out0 (OFF=0.5635906) Y,2.082348e-01,8.649300e-07,-2.732101e-01,9.360576e-01,8.762443e-01
/out0 (OFF=0.566443) Y,2.101746e-01,9.874221e-07,-2.919118e-01,9.486693e-01,9.000107e-01
/out0 (OFF=0.5692953) Y,2.122503e-01,1.133859e-06,-3.128036e-01,9.607219e-01,9.230204e-01
/out0 (OFF=0.5721477) Y,2.144791e-01,1.312323e-06,-3.365122e-01,9.721244e-01,9.450557e-01
/out0 (OFF=0.575) Y,2.168836e-01,1.535739e-06,-3.640169e-01,9.827844e-01,9.658909e-01
Stage 2 Output
/out1 (OFF=0.15) Y,7.503512e-02,8.507361e-23,8.162737e-10,1.747302e-01,3.053064e-02
/out1 (OFF=0.1528523) Y,7.503512e-02,4.394259e-21,9.979357e-09,1.747314e-01,3.053105e-02
/out1 (OFF=0.1557047) Y,7.503512e-02,6.174765e-24,-7.249323e-10,1.747321e-01,3.053129e-02
/out1 (OFF=0.158557) Y,7.503512e-02,7.167193e-24,-7.853651e-10,1.747331e-01,3.053166e-02
/out1 (OFF=0.1614094) Y,7.503508e-02,2.042439e-13,7.260470e-05,1.747343e-01,3.053207e-02
/out1 (OFF=0.1642617) Y,7.503509e-02,8.268785e-14,4.619476e-05,1.747355e-01,3.053250e-02
/out1 (OFF=0.1671141) Y,7.503512e-02,4.687456e-22,2.439422e-09,1.747368e-01,3.053296e-02
/out1 (OFF=0.1699664) Y,7.503512e-02,1.491246e-23,-1.084000e-09,1.747383e-01,3.053347e-02
/out1 (OFF=0.1728188) Y,7.503512e-02,1.602429e-23,-1.076865e-09,1.747399e-01,3.053402e-02
/out1 (OFF=0.1756711) Y,7.503491e-02,6.265843e-12,4.023209e-04,1.747418e-01,3.053469e-02
/out1 (OFF=0.1785235) Y,7.503512e-02,2.146511e-23,-1.350992e-09,1.747434e-01,3.053526e-02
/out1 (OFF=0.1813758) Y,7.503512e-02,2.640481e-23,-1.464561e-09,1.747454e-01,3.053596e-02
/out1 (OFF=0.1842282) Y,7.503512e-02,2.922140e-23,-1.584542e-09,1.747476e-01,3.053672e-02
/out1 (OFF=0.1870805) Y,7.503512e-02,3.440417e-23,-1.688504e-09,1.747499e-01,3.053753e-02
/out1 (OFF=0.1899329) Y,7.503512e-02,3.984132e-23,-1.855895e-09,1.747524e-01,3.053842e-02
/out1 (OFF=0.1927852) Y,7.503512e-02,4.663114e-23,-1.947842e-09,1.747552e-01,3.053937e-02
/out1 (OFF=0.1956376) Y,7.503512e-02,5.399070e-23,-2.138630e-09,1.747581e-01,3.054040e-02
/out1 (OFF=0.1984899) Y,7.503512e-02,6.288311e-23,-2.263420e-09,1.747613e-01,3.054151e-02
/out1 (OFF=0.2013423) Y,7.503512e-02,7.250858e-23,-2.484475e-09,1.747647e-01,3.054271e-02
/out1 (OFF=0.2041946) Y,7.503512e-02,1.213594e-18,1.742562e-07,1.747684e-01,3.054400e-02
/out1 (OFF=0.207047) Y,7.503512e-02,9.697195e-23,-2.890872e-09,1.747724e-01,3.054540e-02
/out1 (OFF=0.2098993) Y,7.503512e-02,1.123525e-22,-3.116017e-09,1.747767e-01,3.054690e-02
/out1 (OFF=0.2127517) Y,7.503512e-02,1.297324e-22,-3.325021e-09,1.747814e-01,3.054852e-02
