FeaturesParamTransientACPPN.csv
Stage 1 Output
Signal, RMS, Variance, Slope, MAE, MSE
/out0 (OFF=0.4067114) Y,7.710828e-02,4.630401e-11,-1.997627e-03,2.600468e-01,6.763280e-02
/out0 (OFF=0.4095638) Y,7.712231e-02,5.059080e-11,-2.088115e-03,2.661916e-01,7.086799e-02
/out0 (OFF=0.4124161) Y,7.713698e-02,5.522664e-11,-2.181755e-03,2.728946e-01,7.448343e-02
/out0 (OFF=0.4152685) Y,7.715230e-02,6.023379e-11,-2.278579e-03,2.802095e-01,7.853161e-02
/out0 (OFF=0.4181208) Y,7.716829e-02,6.563498e-11,-2.379381e-03,2.881846e-01,8.306725e-02
/out0 (OFF=0.4209732) Y,7.718491e-02,7.245694e-11,-2.323707e-03,2.968559e-01,8.814331e-02
/out0 (OFF=0.4238255) Y,7.720240e-02,7.771439e-11,-2.589997e-03,3.062385e-01,9.380517e-02
/out0 (OFF=0.4266779) Y,7.722056e-02,8.444085e-11,-2.699761e-03,3.163213e-01,1.000857e-01
/out0 (OFF=0.4295302) Y,7.723948e-02,9.165787e-11,-2.812770e-03,3.270662e-01,1.070022e-01
/out0 (OFF=0.4323826) Y,7.725919e-02,9.939033e-11,-2.928410e-03,3.384152e-01,1.145579e-01
/out0 (OFF=0.4352349) Y,7.727970e-02,1.076647e-10,-3.042743e-03,3.503023e-01,1.227477e-01
/out0 (OFF=0.4380872) Y,7.730105e-02,1.165028e-10,-3.164722e-03,3.626637e-01,1.315636e-01
/out0 (OFF=0.4409396) Y,7.732325e-02,1.259280e-10,-3.295269e-03,3.754420e-01,1.409979e-01
/out0 (OFF=0.4437919) Y,7.734632e-02,1.359692e-10,-3.424188e-03,3.885994e-01,1.510529e-01
/out0 (OFF=0.4466443) Y,7.737030e-02,1.466476e-10,-3.557864e-03,4.020958e-01,1.617266e-01
/out0 (OFF=0.4494966) Y,7.739518e-02,1.579874e-10,-3.691146e-03,4.159032e-01,1.730230e-01
/out0 (OFF=0.452349) Y,7.742101e-02,1.700100e-10,-3.829070e-03,4.300095e-01,1.849577e-01
/out0 (OFF=0.4552013) Y,7.744779e-02,1.827371e-10,-3.969861e-03,4.443816e-01,1.975264e-01
/out0 (OFF=0.4580537) Y,7.747554e-02,1.961889e-10,-4.115198e-03,4.590086e-01,2.107421e-01
/out0 (OFF=0.460906) Y,7.750429e-02,2.103855e-10,-4.259713e-03,4.738845e-01,2.246214e-01
/out0 (OFF=0.4637584) Y,7.753406e-02,2.253438e-10,-4.408594e-03,4.889924e-01,2.391702e-01
/out0 (OFF=0.4666107) Y,7.756485e-02,2.410806e-10,-4.559981e-03,5.043207e-01,2.543976e-01
/out0 (OFF=0.4694631) Y,7.759652e-02,2.626195e-10,-4.357574e-03,5.198580e-01,2.703121e-01
/out0 (OFF=0.4723154) Y,7.762961e-02,2.749480e-10,-4.869851e-03,5.355925e-01,2.869205e-01
/out0 (OFF=0.4751678) Y,7.766359e-02,2.931036e-10,-5.028110e-03,5.515133e-01,3.042296e-01
/out0 (OFF=0.4780201) Y,7.769867e-02,3.120874e-10,-5.188436e-03,5.676090e-01,3.222439e-01
/out0 (OFF=0.4808725) Y,7.773486e-02,3.319076e-10,-5.350689e-03,5.838680e-01,3.409670e-01
/out0 (OFF=0.4837248) Y,7.777217e-02,3.525702e-10,-5.514767e-03,6.002783e-01,3.604003e-01
/out0 (OFF=0.4865772) Y,7.781061e-02,3.740796e-10,-5.680536e-03,6.168279e-01,3.805441e-01
/out0 (OFF=0.4894295) Y,7.785019e-02,3.964381e-10,-5.847871e-03,6.335043e-01,4.013961e-01
/out0 (OFF=0.4922819) Y,7.789093e-02,4.196463e-10,-6.016645e-03,6.502949e-01,4.229527e-01
/out0 (OFF=0.4951342) Y,7.793283e-02,4.437027e-10,-6.186754e-03,6.671864e-01,4.452077e-01
/out0 (OFF=0.4979866) Y,7.797590e-02,4.686041e-10,-6.357998e-03,6.841653e-01,4.681529e-01
/out0 (OFF=0.5008389) Y,7.802015e-02,4.943457e-10,-6.530325e-03,7.012179e-01,4.917779e-01
