/out0 X,/out0 YRe,/out0 YReImag,/out1 X,/out1 YRe,/out1 YReImag,/Vin X,/Vin YRe,/Vin YReImag
659999999.9999999,-0.0002514456348289753,0.001990705004673634,659999999.9999999,3.660903539881708e-07,-1.069706194436866e-06,659999999.9999999,0.025,0
666666666.6666665,-0.0002004620186455554,0.001950422639030609,666666666.6666665,3.181183480964246e-07,-1.045008481433095e-06,666666666.6666665,0.025,0
673333333.3333331,-0.0001519225328154804,0.001910058796957235,673333333.3333331,2.72875811847763e-07,-1.019696534806148e-06,673333333.3333331,0.025,0
679999999.9999998,-0.0001057483817721896,0.001869678445481912,679999999.9999998,2.302626226168173e-07,-9.938898140605226e-07,679999999.9999998,0.025,0
686666666.6666664,-6.186197902989553e-05,0.001829342091407176,686666666.6666664,1.901793548485281e-07,-9.676985633673424e-07,686666666.6666664,0.025,0
693333333.333333,-2.018701574126697e-05,0.001789105990905671,693333333.333333,1.525275732662413e-07,-9.412243110286271e-07,693333333.333333,0.025,0
699999999.9999996,1.935147885870011e-05,0.001749022352108567,699999999.9999996,1.172100913455522e-07,-9.145603528206564e-07,699999999.9999996,0.025,0
706666666.6666663,5.682708461514764e-05,0.001709139530784814,706666666.6666663,8.413119771041278e-08,-8.877922187132667e-07,706666666.6666663,0.025,0
713333333.3333329,9.231194477588505e-05,0.001669502219243969,713333333.3333329,5.3196852957489e-08,-8.609981226383104e-07,713333333.3333329,0.025,0
719999999.9999995,0.0001258767270012057,0.00163015162857768,719999999.9999995,2.431485927821341e-08,-8.342493950929534e-07,719999999.9999995,0.025,0
726666666.6666662,0.0001575905906532157,0.001591125664359477,726666666.6666662,-2.604994895235204e-09,-8.076108984877648e-07,726666666.6666662,0.025,0
733333333.3333328,0.000187521159928904,0.001552459095933652,733333333.3333328,-2.765081311104453e-08,-7.811414252566176e-07,733333333.3333328,0.025,0
739999999.9999994,0.0002157345024607538,0.001514183719413518,739999999.9999994,-5.090849002597299e-08,-7.54894078823091e-07,739999999.9999994,0.025,0
